run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp
31-03-2026-host-cold-0000,CRIU,cold,no,631,25123,856,326,1813,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:09:26.098226
31-03-2026-host-cold-0001,CRIU,cold,no,638,25017,866,330,1834,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:09:50.375045
31-03-2026-host-cold-0002,CRIU,cold,no,607,25127,1167,329,2103,0.17,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:10:15.613792
31-03-2026-host-cold-0003,CRIU,cold,no,680,25340,966,328,1974,0.21,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:10:40.225718
31-03-2026-host-cold-0004,CRIU,cold,no,668,25284,868,321,1857,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:11:04.770703
31-03-2026-host-cold-0005,CRIU,cold,no,605,25108,906,331,1842,0.22,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:11:29.758189
31-03-2026-host-cold-0006,CRIU,cold,no,694,25398,910,358,1962,0.22,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:11:55.013248
31-03-2026-host-cold-0007,CRIU,cold,no,925,25129,973,335,2233,0.21,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:12:22.717599
31-03-2026-host-cold-0008,CRIU,cold,no,648,25050,876,306,1830,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:12:47.106382
31-03-2026-host-cold-0009,CRIU,cold,no,679,25063,973,375,2027,0.21,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:13:13.264793
31-03-2026-host-cold-0010,CRIU,cold,no,667,25127,1005,411,2083,0.2,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:13:38.475532
31-03-2026-host-cold-0011,CRIU,cold,no,628,25065,916,321,1865,0.22,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:14:03.431362
31-03-2026-host-cold-0012,CRIU,cold,no,601,25293,882,333,1816,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:14:28.534700
31-03-2026-host-cold-0013,CRIU,cold,no,650,24983,882,352,1884,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:14:53.445192
31-03-2026-host-cold-0014,CRIU,cold,no,645,25218,913,321,1879,0.22,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:15:19.037385
31-03-2026-host-cold-0015,CRIU,cold,no,639,25127,883,301,1823,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:15:43.722009
31-03-2026-host-cold-0016,CRIU,cold,no,630,25294,908,333,1871,0.22,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:16:08.488368
31-03-2026-host-cold-0017,CRIU,cold,no,621,25148,1131,326,2078,0.18,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:16:34.436901
31-03-2026-host-cold-0018,CRIU,cold,no,644,25203,913,319,1876,0.22,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:16:58.842147
31-03-2026-host-cold-0019,CRIU,cold,no,593,25281,884,332,1809,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:17:23.644241
31-03-2026-host-cold-0020,CRIU,cold,no,644,25056,863,310,1817,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:17:47.843762
31-03-2026-host-cold-0021,CRIU,cold,no,618,25248,1109,312,2039,0.18,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:18:12.369156
31-03-2026-host-cold-0022,CRIU,cold,no,652,25133,870,313,1835,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:18:37.503743
31-03-2026-host-cold-0023,CRIU,cold,no,600,25109,848,337,1785,0.24,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:19:01.840479
31-03-2026-host-cold-0024,CRIU,cold,no,596,25255,865,334,1795,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:19:26.874266
31-03-2026-host-cold-0025,CRIU,cold,no,655,25388,889,321,1865,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:19:51.192702
31-03-2026-host-cold-0026,CRIU,cold,no,593,25061,850,335,1778,0.24,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:20:15.432218
31-03-2026-host-cold-0027,CRIU,cold,no,595,25066,854,321,1770,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:20:40.124763
31-03-2026-host-cold-0028,CRIU,cold,no,621,25325,849,338,1808,0.24,x86_64,x86_64,True,True,transfer_mode=host,2026-03-31T04:21:04.482327
